date,weekday,name,type,year
2021-05-08,Saturday,Special Working Day,Working day on weekend,2021
2021-06-01,Tuesday,Children's Day,Observance,2021
2021-06-12,Saturday,Dragon Boat Festival holiday,National holiday,2021
2021-06-13,Sunday,Dragon Boat Festival holiday,National holiday,2021
2021-06-14,Monday,Dragon Boat Festival,National holiday,2021
2021-06-21,Monday,June Solstice,Season,2021
2021-07-01,Thursday,CPC Founding Day,Observance,2021
2021-07-11,Sunday,Maritime Day,Observance,2021
2021-08-01,Sunday,Army Day,Observance,2021
2021-08-14,Saturday,Chinese Valentine's Day,Observance,2021
2021-08-22,Sunday,Spirit Festival,Observance,2021
2021-09-10,Friday,Teachers' Day,Observance,2021
2021-09-18,Saturday,Special Working Day,Working day on weekend,2021
2021-09-19,Sunday,Mid-Autumn Festival holiday,National holiday,2021
2021-09-20,Monday,Mid-Autumn Festival holiday,National holiday,2021
2021-09-21,Tuesday,Mid-Autumn Festival,National holiday,2021
2021-09-23,Thursday,September Equinox,Season,2021
2021-09-26,Sunday,Special Working Day,Working day on weekend,2021
2021-10-01,Friday,National Day,National holiday,2021
2021-10-02,Saturday,National Day Golden Week holiday,National holiday,2021
2021-10-03,Sunday,National Day Golden Week holiday,National holiday,2021
2021-10-04,Monday,National Day Golden Week holiday,National holiday,2021
2021-10-05,Tuesday,National Day Golden Week holiday,National holiday,2021
2021-10-06,Wednesday,National Day Golden Week holiday,National holiday,2021
2021-10-07,Thursday,National Day Golden Week holiday,National holiday,2021
2021-10-09,Saturday,Special Working Day,Working day on weekend,2021
2021-10-14,Thursday,Double Ninth Festival,Observance,2021
2021-11-08,Monday,Journalists' Day,Observance,2021
2021-12-21,Tuesday,December Solstice,Season,2021
2021-12-25,Saturday,Christmas Day,Observance,2021
2022-01-01,Saturday,New Year's Day,National holiday,2022
2022-01-02,Sunday,New Year's Holiday,National holiday,2022
2022-01-03,Monday,New Year's Holiday,National holiday,2022
2022-01-29,Saturday,Special Working Day,Working day on weekend,2022
2022-01-30,Sunday,Special Working Day,Working day on weekend,2022
2022-01-31,Monday,Spring Festival Eve,National holiday,2022
2022-02-01,Tuesday,Lunar New Year,National holiday,2022
2022-02-02,Wednesday,Spring Festival Golden Week holiday,National holiday,2022
2022-02-03,Thursday,Spring Festival Golden Week holiday,National holiday,2022
2022-02-04,Friday,Spring Festival Golden Week holiday,National holiday,2022
2022-02-05,Saturday,Spring Festival Golden Week holiday,National holiday,2022
2022-02-06,Sunday,Spring Festival Golden Week holiday,National holiday,2022
2022-02-15,Tuesday,Lantern Festival,Observance,2022
2022-03-04,Friday,Zhonghe Festival,Observance,2022
2022-03-08,Tuesday,International Women's Day,Half day holiday,2022
2022-03-12,Saturday,Arbor Day,Observance,2022
2022-03-20,Sunday,March Equinox,Season,2022
2022-04-03,Sunday,Qing Ming Jie holiday,National holiday,2022
2022-04-04,Monday,Qing Ming Jie holiday,National holiday,2022
2022-04-05,Tuesday,Qing Ming Jie,National holiday,2022
2022-04-24,Sunday,Special Working Day,Working day on weekend,2022
2022-04-30,Saturday,Labour Day Holiday,National holiday,2022
2022-05-01,Sunday,Labour Day,National holiday,2022
2022-05-02,Monday,Labour Day Holiday,National holiday,2022
2022-05-03,Tuesday,Labour Day Holiday,National holiday,2022
2022-05-04,Wednesday,Labour Day Holiday,National holiday,2022
2022-05-04,Wednesday,Youth Day,Half day holiday,2022
2022-05-07,Saturday,Special Working Day,Working day on weekend,2022
2022-06-01,Wednesday,Children's Day,Observance,2022
2022-06-03,Friday,Dragon Boat Festival,National holiday,2022
2022-06-04,Saturday,Dragon Boat Festival holiday,National holiday,2022
2022-06-05,Sunday,Dragon Boat Festival holiday,National holiday,2022
2022-06-21,Tuesday,June Solstice,Season,2022
2022-07-01,Friday,CPC Founding Day,Observance,2022
2022-07-11,Monday,Maritime Day,Observance,2022
2022-08-01,Monday,Army Day,Observance,2022
2022-08-04,Thursday,Chinese Valentine's Day,Observance,2022
2022-08-12,Friday,Spirit Festival,Observance,2022
2022-09-10,Saturday,Teachers' Day,Observance,2022
2022-09-10,Saturday,Mid-Autumn Festival,National holiday,2022
2022-09-11,Sunday,Mid-Autumn Festival holiday,National holiday,2022
2022-09-12,Monday,Mid-Autumn Festival holiday,National holiday,2022
2022-09-23,Friday,September Equinox,Season,2022
2022-10-01,Saturday,National Day,National holiday,2022
2022-10-02,Sunday,National Day Golden Week holiday,National holiday,2022
2022-10-03,Monday,National Day Golden Week holiday,National holiday,2022
2022-10-04,Tuesday,National Day Golden Week holiday,National holiday,2022
2022-10-04,Tuesday,Double Ninth Festival,Observance,2022
2022-10-05,Wednesday,National Day Golden Week holiday,National holiday,2022
2022-10-06,Thursday,National Day Golden Week holiday,National holiday,2022
2022-10-07,Friday,National Day Golden Week holiday,National holiday,2022
2022-10-08,Saturday,Special Working Day,Working day on weekend,2022
2022-10-09,Sunday,Special Working Day,Working day on weekend,2022
2022-11-08,Tuesday,Journalists' Day,Observance,2022
2022-12-22,Thursday,December Solstice,Season,2022
2022-12-25,Sunday,Christmas Day,Observance,2022
2023-01-01,Sunday,New Year's Day,National holiday,2023
2023-01-21,Saturday,Spring Festival Eve,National holiday,2023
2023-01-22,Sunday,Lunar New Year,National holiday,2023
2023-01-23,Monday,Spring Festival Golden Week holiday,National holiday,2023
2023-01-24,Tuesday,Spring Festival Golden Week holiday,National holiday,2023
2023-01-25,Wednesday,Spring Festival Golden Week holiday,National holiday,2023
2023-01-26,Thursday,Spring Festival Golden Week holiday,National holiday,2023
2023-01-27,Friday,Spring Festival Golden Week holiday,National holiday,2023
2023-02-05,Sunday,Lantern Festival,Observance,2023
2023-02-21,Tuesday,Zhonghe Festival,Observance,2023
2023-03-08,Wednesday,International Women's Day,Half day holiday,2023
2023-03-12,Sunday,Arbor Day,Observance,2023
2023-03-21,Tuesday,March Equinox,Season,2023
2023-04-05,Wednesday,Qing Ming Jie,National holiday,2023
2023-05-01,Monday,Labour Day,National holiday,2023
2023-05-04,Thursday,Youth Day,Half day holiday,2023
2023-06-01,Thursday,Children's Day,Observance,2023
2023-06-21,Wednesday,June Solstice,Season,2023
2023-06-22,Thursday,Dragon Boat Festival,National holiday,2023
2023-07-01,Saturday,CPC Founding Day,Observance,2023
2023-07-11,Tuesday,Maritime Day,Observance,2023
2023-08-01,Tuesday,Army Day,Observance,2023
2023-08-22,Tuesday,Chinese Valentine's Day,Observance,2023
2023-08-30,Wednesday,Spirit Festival,Observance,2023
2023-09-10,Sunday,Teachers' Day,Observance,2023
2023-09-23,Saturday,September Equinox,Season,2023
2023-09-29,Friday,Mid-Autumn Festival,National holiday,2023
2023-10-01,Sunday,National Day,National holiday,2023
2023-10-02,Monday,National Day Golden Week holiday,National holiday,2023
2023-10-03,Tuesday,National Day Golden Week holiday,National holiday,2023
2023-10-04,Wednesday,National Day Golden Week holiday,National holiday,2023
2023-10-05,Thursday,National Day Golden Week holiday,National holiday,2023
2023-10-06,Friday,National Day Golden Week holiday,National holiday,2023
2023-10-07,Saturday,National Day Golden Week holiday,National holiday,2023
2023-10-23,Monday,Double Ninth Festival,Observance,2023
2023-11-08,Wednesday,Journalists' Day,Observance,2023
2023-12-22,Friday,December Solstice,Season,2023
2023-12-25,Monday,Christmas Day,Observance,2023
2024-01-01,Monday,New Year's Day,National holiday,2024
2024-02-09,Friday,Spring Festival Eve,National holiday,2024
2024-02-10,Saturday,Lunar New Year,National holiday,2024
2024-02-11,Sunday,Spring Festival Golden Week holiday,National holiday,2024
2024-02-12,Monday,Spring Festival Golden Week holiday,National holiday,2024
2024-02-13,Tuesday,Spring Festival Golden Week holiday,National holiday,2024
2024-02-14,Wednesday,Spring Festival Golden Week holiday,National holiday,2024
2024-02-15,Thursday,Spring Festival Golden Week holiday,National holiday,2024
2024-02-24,Saturday,Lantern Festival,Observance,2024
2024-03-08,Friday,International Women's Day,Half day holiday,2024
2024-03-11,Monday,Zhonghe Festival,Observance,2024
2024-03-12,Tuesday,Arbor Day,Observance,2024
2024-03-20,Wednesday,March Equinox,Season,2024
2024-04-04,Thursday,Qing Ming Jie,National holiday,2024
2024-05-01,Wednesday,Labour Day,National holiday,2024
2024-05-04,Saturday,Youth Day,Half day holiday,2024
2024-06-01,Saturday,Children's Day,Observance,2024
2024-06-10,Monday,Dragon Boat Festival,National holiday,2024
2024-06-21,Friday,June Solstice,Season,2024
2024-07-01,Monday,CPC Founding Day,Observance,2024
2024-07-11,Thursday,Maritime Day,Observance,2024
2024-08-01,Thursday,Army Day,Observance,2024
2024-08-10,Saturday,Chinese Valentine's Day,Observance,2024
2024-08-18,Sunday,Spirit Festival,Observance,2024
2024-09-10,Tuesday,Teachers' Day,Observance,2024
2024-09-17,Tuesday,Mid-Autumn Festival,National holiday,2024
2024-09-22,Sunday,September Equinox,Season,2024
2024-10-01,Tuesday,National Day,National holiday,2024
2024-10-02,Wednesday,National Day Golden Week holiday,National holiday,2024
2024-10-03,Thursday,National Day Golden Week holiday,National holiday,2024
2024-10-04,Friday,National Day Golden Week holiday,National holiday,2024
2024-10-05,Saturday,National Day Golden Week holiday,National holiday,2024
2024-10-06,Sunday,National Day Golden Week holiday,National holiday,2024
2024-10-07,Monday,National Day Golden Week holiday,National holiday,2024
2024-10-11,Friday,Double Ninth Festival,Observance,2024
2024-11-08,Friday,Journalists' Day,Observance,2024
2024-12-21,Saturday,December Solstice,Season,2024
2024-12-25,Wednesday,Christmas Day,Observance,2024
2025-01-01,Wednesday,New Year's Day,National holiday,2025
2025-01-28,Tuesday,Spring Festival Eve,National holiday,2025
2025-01-29,Wednesday,Lunar New Year,National holiday,2025
2025-01-30,Thursday,Spring Festival Golden Week holiday,National holiday,2025
2025-01-31,Friday,Spring Festival Golden Week holiday,National holiday,2025
2025-02-01,Saturday,Spring Festival Golden Week holiday,National holiday,2025
2025-02-02,Sunday,Spring Festival Golden Week holiday,National holiday,2025
2025-02-03,Monday,Spring Festival Golden Week holiday,National holiday,2025
2025-02-12,Wednesday,Lantern Festival,Observance,2025
2025-03-01,Saturday,Zhonghe Festival,Observance,2025
2025-03-08,Saturday,International Women's Day,Half day holiday,2025
2025-03-12,Wednesday,Arbor Day,Observance,2025
2025-03-20,Thursday,March Equinox,Season,2025
2025-04-05,Saturday,Qing Ming Jie,National holiday,2025
2025-05-01,Thursday,Labour Day,National holiday,2025
2025-05-04,Sunday,Youth Day,Half day holiday,2025
2025-05-31,Saturday,Dragon Boat Festival,National holiday,2025
2025-06-01,Sunday,Children's Day,Observance,2025
2025-06-21,Saturday,June Solstice,Season,2025
2025-07-01,Tuesday,CPC Founding Day,Observance,2025
2025-07-11,Friday,Maritime Day,Observance,2025
2025-08-01,Friday,Army Day,Observance,2025
2025-08-29,Friday,Chinese Valentine's Day,Observance,2025
2025-09-06,Saturday,Spirit Festival,Observance,2025
2025-09-10,Wednesday,Teachers' Day,Observance,2025
2025-09-23,Tuesday,September Equinox,Season,2025
2025-10-01,Wednesday,National Day,National holiday,2025
2025-10-02,Thursday,National Day Golden Week holiday,National holiday,2025
2025-10-03,Friday,National Day Golden Week holiday,National holiday,2025
2025-10-04,Saturday,National Day Golden Week holiday,National holiday,2025
2025-10-05,Sunday,National Day Golden Week holiday,National holiday,2025
2025-10-06,Monday,National Day Golden Week holiday,National holiday,2025
2025-10-06,Monday,Mid-Autumn Festival,National holiday,2025
2025-10-07,Tuesday,National Day Golden Week holiday,National holiday,2025
2025-10-29,Wednesday,Double Ninth Festival,Observance,2025
2025-11-08,Saturday,Journalists' Day,Observance,2025
2025-12-21,Sunday,December Solstice,Season,2025
2025-12-25,Thursday,Christmas Day,Observance,2025
2026-01-01,Thursday,New Year's Day,National holiday,2026
2026-02-16,Monday,Spring Festival Eve,National holiday,2026
2026-02-17,Tuesday,Lunar New Year,National holiday,2026
2026-02-18,Wednesday,Spring Festival Golden Week holiday,National holiday,2026
2026-02-19,Thursday,Spring Festival Golden Week holiday,National holiday,2026
2026-02-20,Friday,Spring Festival Golden Week holiday,National holiday,2026
2026-02-21,Saturday,Spring Festival Golden Week holiday,National holiday,2026
2026-02-22,Sunday,Spring Festival Golden Week holiday,National holiday,2026
2026-03-03,Tuesday,Lantern Festival,Observance,2026
2026-03-08,Sunday,International Women's Day,Half day holiday,2026
2026-03-12,Thursday,Arbor Day,Observance,2026
2026-03-20,Friday,Zhonghe Festival,Observance,2026
2026-03-20,Friday,March Equinox,Season,2026
2026-04-05,Sunday,Qing Ming Jie,National holiday,2026
2026-05-01,Friday,Labour Day,National holiday,2026
2026-05-04,Monday,Youth Day,Half day holiday,2026
2026-06-01,Monday,Children's Day,Observance,2026
2026-06-19,Friday,Dragon Boat Festival,National holiday,2026
2026-06-21,Sunday,June Solstice,Season,2026
2026-07-01,Wednesday,CPC Founding Day,Observance,2026
2026-07-11,Saturday,Maritime Day,Observance,2026
2026-08-01,Saturday,Army Day,Observance,2026
2026-08-19,Wednesday,Chinese Valentine's Day,Observance,2026
2026-08-27,Thursday,Spirit Festival,Observance,2026
2026-09-10,Thursday,Teachers' Day,Observance,2026
2026-09-23,Wednesday,September Equinox,Season,2026
2026-09-25,Friday,Mid-Autumn Festival,National holiday,2026
2026-10-01,Thursday,National Day,National holiday,2026
2026-10-02,Friday,National Day Golden Week holiday,National holiday,2026
2026-10-03,Saturday,National Day Golden Week holiday,National holiday,2026
2026-10-04,Sunday,National Day Golden Week holiday,National holiday,2026
2026-10-05,Monday,National Day Golden Week holiday,National holiday,2026
2026-10-06,Tuesday,National Day Golden Week holiday,National holiday,2026
2026-10-07,Wednesday,National Day Golden Week holiday,National holiday,2026
2026-10-18,Sunday,Double Ninth Festival,Observance,2026
2026-11-08,Sunday,Journalists' Day,Observance,2026
2026-12-22,Tuesday,December Solstice,Season,2026
2026-12-25,Friday,Christmas Day,Observance,2026
2027-01-01,Friday,New Year's Day,National holiday,2027
2027-02-05,Friday,Spring Festival Eve,National holiday,2027
2027-02-06,Saturday,Lunar New Year,National holiday,2027
2027-02-07,Sunday,Spring Festival Golden Week holiday,National holiday,2027
2027-02-08,Monday,Spring Festival Golden Week holiday,National holiday,2027
2027-02-09,Tuesday,Spring Festival Golden Week holiday,National holiday,2027
2027-02-10,Wednesday,Spring Festival Golden Week holiday,National holiday,2027
2027-02-11,Thursday,Spring Festival Golden Week holiday,National holiday,2027
2027-02-20,Saturday,Lantern Festival,Observance,2027
2027-03-08,Monday,International Women's Day,Half day holiday,2027
2027-03-09,Tuesday,Zhonghe Festival,Observance,2027
2027-03-12,Friday,Arbor Day,Observance,2027
2027-03-21,Sunday,March Equinox,Season,2027
2027-04-05,Monday,Qing Ming Jie,National holiday,2027
2027-05-01,Saturday,Labour Day,National holiday,2027
2027-05-04,Tuesday,Youth Day,Half day holiday,2027
2027-06-01,Tuesday,Children's Day,Observance,2027
2027-06-09,Wednesday,Dragon Boat Festival,National holiday,2027
2027-06-21,Monday,June Solstice,Season,2027
2027-07-01,Thursday,CPC Founding Day,Observance,2027
2027-07-11,Sunday,Maritime Day,Observance,2027
2027-08-01,Sunday,Army Day,Observance,2027
2027-08-08,Sunday,Chinese Valentine's Day,Observance,2027
2027-08-16,Monday,Spirit Festival,Observance,2027
2027-09-10,Friday,Teachers' Day,Observance,2027
2027-09-15,Wednesday,Mid-Autumn Festival,National holiday,2027
2027-09-23,Thursday,September Equinox,Season,2027
2027-10-01,Friday,National Day,National holiday,2027
2027-10-02,Saturday,National Day Golden Week holiday,National holiday,2027
2027-10-03,Sunday,National Day Golden Week holiday,National holiday,2027
2027-10-04,Monday,National Day Golden Week holiday,National holiday,2027
2027-10-05,Tuesday,National Day Golden Week holiday,National holiday,2027
2027-10-06,Wednesday,National Day Golden Week holiday,National holiday,2027
2027-10-07,Thursday,National Day Golden Week holiday,National holiday,2027
2027-10-08,Friday,Double Ninth Festival,Observance,2027
2027-11-08,Monday,Journalists' Day,Observance,2027
2027-12-22,Wednesday,December Solstice,Season,2027
2027-12-25,Saturday,Christmas Day,Observance,2027
2028-01-01,Saturday,New Year's Day,National holiday,2028
2028-01-25,Tuesday,Spring Festival Eve,National holiday,2028
2028-01-26,Wednesday,Lunar New Year,National holiday,2028
2028-01-27,Thursday,Spring Festival Golden Week holiday,National holiday,2028
2028-01-28,Friday,Spring Festival Golden Week holiday,National holiday,2028
2028-01-29,Saturday,Spring Festival Golden Week holiday,National holiday,2028
2028-01-30,Sunday,Spring Festival Golden Week holiday,National holiday,2028
2028-01-31,Monday,Spring Festival Golden Week holiday,National holiday,2028
2028-02-09,Wednesday,Lantern Festival,Observance,2028
2028-02-26,Saturday,Zhonghe Festival,Observance,2028
2028-03-08,Wednesday,International Women's Day,Half day holiday,2028
2028-03-12,Sunday,Arbor Day,Observance,2028
2028-03-20,Monday,March Equinox,Season,2028
2028-04-04,Tuesday,Qing Ming Jie,National holiday,2028
2028-05-01,Monday,Labour Day,National holiday,2028
2028-05-04,Thursday,Youth Day,Half day holiday,2028
2028-05-28,Sunday,Dragon Boat Festival,National holiday,2028
2028-06-01,Thursday,Children's Day,Observance,2028
2028-06-21,Wednesday,June Solstice,Season,2028
2028-07-01,Saturday,CPC Founding Day,Observance,2028
2028-07-11,Tuesday,Maritime Day,Observance,2028
2028-08-01,Tuesday,Army Day,Observance,2028
2028-08-26,Saturday,Chinese Valentine's Day,Observance,2028
2028-09-03,Sunday,Spirit Festival,Observance,2028
2028-09-10,Sunday,Teachers' Day,Observance,2028
2028-09-22,Friday,September Equinox,Season,2028
2028-10-01,Sunday,National Day,National holiday,2028
2028-10-02,Monday,National Day Golden Week holiday,National holiday,2028
2028-10-03,Tuesday,National Day Golden Week holiday,National holiday,2028
2028-10-03,Tuesday,Mid-Autumn Festival,National holiday,2028
2028-10-04,Wednesday,National Day Golden Week holiday,National holiday,2028
2028-10-05,Thursday,National Day Golden Week holiday,National holiday,2028
2028-10-06,Friday,National Day Golden Week holiday,National holiday,2028
2028-10-07,Saturday,National Day Golden Week holiday,National holiday,2028
2028-10-26,Thursday,Double Ninth Festival,Observance,2028
2028-11-08,Wednesday,Journalists' Day,Observance,2028
2028-12-21,Thursday,December Solstice,Season,2028
2028-12-25,Monday,Christmas Day,Observance,2028
2029-01-01,Monday,New Year's Day,National holiday,2029
2029-02-12,Monday,Spring Festival Eve,National holiday,2029
2029-02-13,Tuesday,Lunar New Year,National holiday,2029
2029-02-14,Wednesday,Spring Festival Golden Week holiday,National holiday,2029
2029-02-15,Thursday,Spring Festival Golden Week holiday,National holiday,2029
2029-02-16,Friday,Spring Festival Golden Week holiday,National holiday,2029
2029-02-17,Saturday,Spring Festival Golden Week holiday,National holiday,2029
2029-02-18,Sunday,Spring Festival Golden Week holiday,National holiday,2029
2029-02-27,Tuesday,Lantern Festival,Observance,2029
2029-03-08,Thursday,International Women's Day,Half day holiday,2029
2029-03-12,Monday,Arbor Day,Observance,2029
2029-03-16,Friday,Zhonghe Festival,Observance,2029
2029-03-20,Tuesday,March Equinox,Season,2029
2029-04-05,Thursday,Qing Ming Jie,National holiday,2029
2029-05-01,Tuesday,Labour Day,National holiday,2029
2029-05-04,Friday,Youth Day,Half day holiday,2029
2029-06-01,Friday,Children's Day,Observance,2029
2029-06-16,Saturday,Dragon Boat Festival,National holiday,2029
2029-06-21,Thursday,June Solstice,Season,2029
2029-07-01,Sunday,CPC Founding Day,Observance,2029
2029-07-11,Wednesday,Maritime Day,Observance,2029
2029-08-01,Wednesday,Army Day,Observance,2029
2029-08-16,Thursday,Chinese Valentine's Day,Observance,2029
2029-08-24,Friday,Spirit Festival,Observance,2029
2029-09-10,Monday,Teachers' Day,Observance,2029
2029-09-22,Saturday,Mid-Autumn Festival,National holiday,2029
2029-09-23,Sunday,September Equinox,Season,2029
2029-10-01,Monday,National Day,National holiday,2029
2029-10-02,Tuesday,National Day Golden Week holiday,National holiday,2029
2029-10-03,Wednesday,National Day Golden Week holiday,National holiday,2029
2029-10-04,Thursday,National Day Golden Week holiday,National holiday,2029
2029-10-05,Friday,National Day Golden Week holiday,National holiday,2029
2029-10-06,Saturday,National Day Golden Week holiday,National holiday,2029
2029-10-07,Sunday,National Day Golden Week holiday,National holiday,2029
2029-10-16,Tuesday,Double Ninth Festival,Observance,2029
2029-11-08,Thursday,Journalists' Day,Observance,2029
2029-12-21,Friday,December Solstice,Season,2029
2029-12-25,Tuesday,Christmas Day,Observance,2029
2030-01-01,Tuesday,New Year's Day,National holiday,2030
2030-02-02,Saturday,Spring Festival Eve,National holiday,2030
2030-02-03,Sunday,Lunar New Year,National holiday,2030
2030-02-04,Monday,Spring Festival Golden Week holiday,National holiday,2030
2030-02-05,Tuesday,Spring Festival Golden Week holiday,National holiday,2030
2030-02-06,Wednesday,Spring Festival Golden Week holiday,National holiday,2030
2030-02-07,Thursday,Spring Festival Golden Week holiday,National holiday,2030
2030-02-08,Friday,Spring Festival Golden Week holiday,National holiday,2030
2030-02-17,Sunday,Lantern Festival,Observance,2030
2030-03-05,Tuesday,Zhonghe Festival,Observance,2030
2030-03-08,Friday,International Women's Day,Half day holiday,2030
2030-03-12,Tuesday,Arbor Day,Observance,2030
2030-03-20,Wednesday,March Equinox,Season,2030
2030-04-05,Friday,Qing Ming Jie,National holiday,2030
2030-05-01,Wednesday,Labour Day,National holiday,2030
2030-05-04,Saturday,Youth Day,Half day holiday,2030
2030-06-01,Saturday,Children's Day,Observance,2030
2030-06-05,Wednesday,Dragon Boat Festival,National holiday,2030
2030-06-21,Friday,June Solstice,Season,2030
2030-07-01,Monday,CPC Founding Day,Observance,2030
2030-07-11,Thursday,Maritime Day,Observance,2030
2030-08-01,Thursday,Army Day,Observance,2030
2030-08-05,Monday,Chinese Valentine's Day,Observance,2030
2030-08-13,Tuesday,Spirit Festival,Observance,2030
2030-09-10,Tuesday,Teachers' Day,Observance,2030
2030-09-12,Thursday,Mid-Autumn Festival,National holiday,2030
2030-09-23,Monday,September Equinox,Season,2030
2030-10-01,Tuesday,National Day,National holiday,2030
2030-10-02,Wednesday,National Day Golden Week holiday,National holiday,2030
2030-10-03,Thursday,National Day Golden Week holiday,National holiday,2030
2030-10-04,Friday,National Day Golden Week holiday,National holiday,2030
2030-10-05,Saturday,National Day Golden Week holiday,National holiday,2030
2030-10-05,Saturday,Double Ninth Festival,Observance,2030
2030-10-06,Sunday,National Day Golden Week holiday,National holiday,2030
2030-10-07,Monday,National Day Golden Week holiday,National holiday,2030
2030-11-08,Friday,Journalists' Day,Observance,2030
2030-12-22,Sunday,December Solstice,Season,2030
2030-12-25,Wednesday,Christmas Day,Observance,2030
